"""Two and a half years after Hurricane Irma blew through Miami, the Ritz-Carlton South Beach hotel is finally reopening."" #MiamiBeach",1,0,7,,0,0,1
1) Never touch down live power lines 2) Keep generators outside & away from the house #HurricaneIrma #Irma #BeSafe,7,0,1,,0,0,1
"Somebody's roof landed in our driveway, power pole leaning #Irma #BigPineKey water has gone down 3 feet **need permission to use.",7,0,6,,0,0,1
Crews heading down to South Florida to help restore power. Video shot by a friend heading to Orlando #Irma,1,0,1,,0,1,1
irma was a cat 2 when she hit and literally all we have is branches down and no power #TropicalStormIrma,1,1,1,,1,1,1
"We can't stress this enough, do not drive. It is not safe. There is standing water all over, downed power lines, and trees down. #Irma",1,1,1,5,1,1,1
UPDATE: A bus bridge has been established for the Omni Loop. Brickell and Inner Loop are experiencing periodic delays as technicians work to resolve the issue.,1,0,5,,1,0,0
"If I lose my sc streaks b/c of a power outage and no cell service from the hurricane, Im going to be pissed.",1,0,1,2,0,1,1
I was effected by hurricane Michael. No power and low cell service. I hope to be back soon. So many lives in despair. Please pray.,1,0,1,2,1,1,0
Odumbdumb is sending stranded Hurricane Sandy residents to the internet when they have no power or cell service. #tcot,1,0,1,2,1,1,0
"After riding Hurricane Michael out in a Panama City motel as the walls shook & cracked, I had no power or cell service for days. I spent two sleepless nights in a shelter & a rental car. I even injured my leg. ",1,0,1,2,1,1,0
"Climate change isn’t just hurricanes, floods, and fires. It’s also sewage overflow from rainfall totals your water treatment authority didn’t plan for. ",7,0,7,,0,1,1
There's no escape. It's my job to watch the Johnson-Corbyn debate. Already feeling like a sewage farm worker in a hurricane seeing a tsunami of shit heading his way.,1,0,7,,0,0,1
We have humanitarian needs right here in America! Hurricane Micheal relief is very much needed!,1,1,6,,1,0,1
"Truth. Hurricane Dorian knocked out power in Halifax for a week in some places. Many buildings did exactly that, you learned to carry a flashlight.",1,0,1,,0,1,1
"Please consider supporting our community as we prepare to pack 65,000 meals to donate to the families displaced in the Bahamas by Hurricane Dorian.",1,0,6,,0,0,1
Hurricane Dorian: Storm blows through Nova Scotia downing trees and flooding roads,1,1,5,,1,0,1
